,r,rho,ratio,p,q,error
159,2.50000000000000000e+00,1.00000000000000000e+01,2.50000000000000000e-01,20,5,2.41192063344316707e-15
160,5.00000000000000000e-01,1.00000000000000000e+00,5.00000000000000000e-01,10,10,7.77123745565895242e-05
161,5.00000000000000000e+00,1.00000000000000000e+01,5.00000000000000000e-01,15,15,2.42851170488017017e-07
162,2.50000000000000000e+00,1.00000000000000000e+01,2.50000000000000000e-01,20,10,2.41192063344316707e-15
163,2.50000000000000000e-01,1.00000000000000000e+00,2.50000000000000000e-01,10,5,2.52969969200832360e-08
164,5.00000000000000000e+00,1.00000000000000000e+01,5.00000000000000000e-01,15,3,2.42851170488017017e-07
165,5.00000000000000000e-01,1.00000000000000000e+00,5.00000000000000000e-01,5,3,2.48679598581086478e-03
166,2.50000000000000014e-02,1.00000000000000006e-01,2.50000000000000000e-01,10,10,2.52969969165492888e-07
167,2.50000000000000000e+00,1.00000000000000000e+01,2.50000000000000000e-01,3,20,4.14465997635149374e-05
168,5.00000000000000028e-02,1.00000000000000006e-01,5.00000000000000000e-01,5,15,2.48679598581086486e-02
169,5.00000000000000000e-01,1.00000000000000000e+00,5.00000000000000000e-01,20,10,7.58909907779194572e-08
170,7.50000000000000000e+00,1.00000000000000000e+01,7.50000000000000000e-01,10,10,1.34438613433361079e-03
171,5.00000000000000028e-02,1.00000000000000006e-01,5.00000000000000000e-01,5,20,2.48679598581086486e-02
172,5.00000000000000000e-01,1.00000000000000000e+00,5.00000000000000000e-01,20,5,7.58909907779194572e-08
173,5.00000000000000000e+00,1.00000000000000000e+01,5.00000000000000000e-01,10,10,7.77123745565850993e-06
174,5.00000000000000028e-02,1.00000000000000006e-01,5.00000000000000000e-01,10,10,7.77123745565895269e-04
175,2.50000000000000000e-01,1.00000000000000000e+00,2.50000000000000000e-01,5,15,2.59041248522016140e-05
176,7.50000000000000000e+00,1.00000000000000000e+01,7.50000000000000000e-01,20,20,7.57071083510103457e-05
177,7.50000000000000000e+00,1.00000000000000000e+01,7.50000000000000000e-01,10,15,1.34438613433361079e-03
178,2.50000000000000014e-02,1.00000000000000006e-01,2.50000000000000000e-01,15,15,2.47040910258383231e-10
179,5.00000000000000000e-01,1.00000000000000000e+00,5.00000000000000000e-01,3,10,9.94718394324345910e-03
180,5.00000000000000028e-02,1.00000000000000006e-01,5.00000000000000000e-01,15,5,2.42851170489342272e-05
181,2.50000000000000000e+00,1.00000000000000000e+01,2.50000000000000000e-01,15,15,2.47040970880416390e-12
182,7.50000000000000111e-02,1.00000000000000006e-01,7.50000000000000000e-01,5,3,5.66523210517538178e-01
183,5.00000000000000000e+00,1.00000000000000000e+01,5.00000000000000000e-01,20,15,7.58909907602497015e-09
184,7.50000000000000000e-01,1.00000000000000000e+00,7.50000000000000000e-01,5,15,5.66523210517537665e-02
185,7.50000000000000000e-01,1.00000000000000000e+00,7.50000000000000000e-01,10,3,1.34438613433360988e-02
186,5.00000000000000000e+00,1.00000000000000000e+01,5.00000000000000000e-01,5,3,2.48679598581085599e-04
187,2.50000000000000014e-02,1.00000000000000006e-01,2.50000000000000000e-01,5,10,2.59041248521870836e-04
188,7.50000000000000000e-01,1.00000000000000000e+00,7.50000000000000000e-01,10,20,1.34438613433360988e-02
189,5.00000000000000028e-02,1.00000000000000006e-01,5.00000000000000000e-01,3,3,9.94718394324345945e-02
190,7.50000000000000000e+00,1.00000000000000000e+01,7.50000000000000000e-01,10,3,1.34438613433361079e-03
191,7.50000000000000000e+00,1.00000000000000000e+01,7.50000000000000000e-01,20,3,7.57071083510103457e-05
192,2.50000000000000014e-02,1.00000000000000006e-01,2.50000000000000000e-01,10,15,2.52969969165492888e-07
193,2.50000000000000014e-02,1.00000000000000006e-01,2.50000000000000000e-01,20,5,2.41156723847855983e-13
194,7.50000000000000000e+00,1.00000000000000000e+01,7.50000000000000000e-01,3,15,1.00715237425340037e-02
195,7.50000000000000000e+00,1.00000000000000000e+01,7.50000000000000000e-01,15,5,3.19029131487372068e-04
196,5.00000000000000000e+00,1.00000000000000000e+01,5.00000000000000000e-01,15,10,2.42851170488017017e-07
197,7.50000000000000000e+00,1.00000000000000000e+01,7.50000000000000000e-01,15,10,3.19029131487372068e-04
198,5.00000000000000028e-02,1.00000000000000006e-01,5.00000000000000000e-01,10,15,7.77123745565895269e-04
199,5.00000000000000028e-02,1.00000000000000006e-01,5.00000000000000000e-01,3,15,9.94718394324345945e-02
200,7.50000000000000000e-01,1.00000000000000000e+00,7.50000000000000000e-01,15,20,3.19029131487370311e-03
201,2.50000000000000000e-01,1.00000000000000000e+00,2.50000000000000000e-01,20,15,2.41423648237688512e-14
202,5.00000000000000028e-02,1.00000000000000006e-01,5.00000000000000000e-01,10,20,7.77123745565895269e-04
203,7.50000000000000000e-01,1.00000000000000000e+00,7.50000000000000000e-01,15,3,3.19029131487370311e-03
204,7.50000000000000000e+00,1.00000000000000000e+01,7.50000000000000000e-01,3,5,1.00715237425340037e-02
205,2.50000000000000000e-01,1.00000000000000000e+00,2.50000000000000000e-01,20,20,2.41424246001430054e-14
206,7.50000000000000000e-01,1.00000000000000000e+00,7.50000000000000000e-01,3,10,1.00715237425340026e-01
207,7.50000000000000111e-02,1.00000000000000006e-01,7.50000000000000000e-01,15,20,3.19029131487375966e-02
208,5.00000000000000028e-02,1.00000000000000006e-01,5.00000000000000000e-01,20,15,7.58909907779194599e-07
209,5.00000000000000000e+00,1.00000000000000000e+01,5.00000000000000000e-01,20,5,7.58909907602497015e-09
210,7.50000000000000111e-02,1.00000000000000006e-01,7.50000000000000000e-01,5,5,5.66523210517538178e-01
211,7.50000000000000111e-02,1.00000000000000006e-01,7.50000000000000000e-01,15,10,3.19029131487375966e-02
212,2.50000000000000000e-01,1.00000000000000000e+00,2.50000000000000000e-01,15,15,2.47041038084000513e-11
213,7.50000000000000111e-02,1.00000000000000006e-01,7.50000000000000000e-01,5,10,5.66523210517538178e-01
214,7.50000000000000000e+00,1.00000000000000000e+01,7.50000000000000000e-01,15,15,3.19029131487372068e-04
215,7.50000000000000000e+00,1.00000000000000000e+01,7.50000000000000000e-01,15,20,3.19029131487372068e-04
216,7.50000000000000000e-01,1.00000000000000000e+00,7.50000000000000000e-01,10,10,1.34438613433360988e-02
217,5.00000000000000000e+00,1.00000000000000000e+01,5.00000000000000000e-01,5,5,2.48679598581085599e-04
218,2.50000000000000000e+00,1.00000000000000000e+01,2.50000000000000000e-01,15,3,2.47040970880416390e-12
219,2.50000000000000000e-01,1.00000000000000000e+00,2.50000000000000000e-01,3,3,4.14465997635138220e-04
220,5.00000000000000028e-02,1.00000000000000006e-01,5.00000000000000000e-01,5,3,2.48679598581086486e-02
221,2.50000000000000014e-02,1.00000000000000006e-01,2.50000000000000000e-01,20,3,2.41156723847855983e-13
222,5.00000000000000000e-01,1.00000000000000000e+00,5.00000000000000000e-01,10,5,7.77123745565895242e-05
223,2.50000000000000000e-01,1.00000000000000000e+00,2.50000000000000000e-01,3,15,4.14465997635149279e-04
224,7.50000000000000111e-02,1.00000000000000006e-01,7.50000000000000000e-01,3,20,1.00715237425340076e+00
