,R,r,rho,ratio,p,q,error
113,1.00000000000000000e+00,5.00000000000000028e-02,1.00000000000000006e-01,5.00000000000000000e-01,20,10,5.71274516177011193e-01
114,1.00000000000000006e-01,2.50000000000000014e-02,1.00000000000000006e-01,2.50000000000000000e-01,20,5,8.35468067722957550e-06
115,1.00000000000000000e+01,2.50000000000000000e+00,1.00000000000000000e+01,2.50000000000000000e-01,20,10,8.35468067680550241e-08
116,1.00000000000000006e-01,5.00000000000000000e-01,1.00000000000000000e+00,5.00000000000000000e-01,10,10,7.77126253421952937e-05
117,1.00000000000000000e+00,2.50000000000000000e-01,1.00000000000000000e+00,2.50000000000000000e-01,3,5,1.14496231846708506e-02
118,1.00000000000000006e-01,5.00000000000000000e-01,1.00000000000000000e+00,5.00000000000000000e-01,15,15,2.42851173996787283e-06
119,1.00000000000000006e-01,5.00000000000000000e+00,1.00000000000000000e+01,5.00000000000000000e-01,3,3,9.94719269392666623e-04
120,1.00000000000000006e-01,7.50000000000000000e+00,1.00000000000000000e+01,7.50000000000000000e-01,3,5,1.00715258411144971e-02
121,1.00000000000000000e+00,5.00000000000000028e-02,1.00000000000000006e-01,5.00000000000000000e-01,5,5,1.18763905051415630e+00
122,1.00000000000000000e+01,5.00000000000000000e-01,1.00000000000000000e+00,5.00000000000000000e-01,3,20,1.30938630575851006e-01
123,1.00000000000000000e+01,2.50000000000000000e+00,1.00000000000000000e+01,2.50000000000000000e-01,3,20,1.14496231846708584e-03
124,1.00000000000000000e+01,5.00000000000000000e-01,1.00000000000000000e+00,5.00000000000000000e-01,20,3,5.71274516177012331e-02
125,1.00000000000000006e-01,5.00000000000000028e-02,1.00000000000000006e-01,5.00000000000000000e-01,5,3,1.47362090252932315e-01
126,1.00000000000000000e+01,5.00000000000000028e-02,1.00000000000000006e-01,5.00000000000000000e-01,10,3,1.50658435186147321e+00
127,1.00000000000000006e-01,2.50000000000000014e-02,1.00000000000000006e-01,2.50000000000000000e-01,3,20,1.14496231846708471e-01
128,1.00000000000000000e+01,7.50000000000000000e+00,1.00000000000000000e+01,7.50000000000000000e-01,3,3,1.49052334399538723e-02
129,1.00000000000000000e+01,2.50000000000000000e+00,1.00000000000000000e+01,2.50000000000000000e-01,5,10,3.70327797398706466e-04
130,1.00000000000000000e+00,7.50000000000000000e-01,1.00000000000000000e+00,7.50000000000000000e-01,3,15,1.49052334399538716e-01
131,1.00000000000000000e+00,7.50000000000000111e-02,1.00000000000000006e-01,7.50000000000000000e-01,3,3,2.88380740168323868e+00
132,1.00000000000000006e-01,7.50000000000000111e-02,1.00000000000000006e-01,7.50000000000000000e-01,15,3,9.86543326482095667e-02
133,1.00000000000000000e+01,2.50000000000000014e-02,1.00000000000000006e-01,2.50000000000000000e-01,15,10,9.41473273023003543e-01
134,1.00000000000000006e-01,2.50000000000000000e+00,1.00000000000000000e+01,2.50000000000000000e-01,10,10,2.52969969263400666e-09
135,1.00000000000000000e+00,2.50000000000000000e+00,1.00000000000000000e+01,2.50000000000000000e-01,10,20,2.53033057616401442e-09
136,1.00000000000000000e+00,5.00000000000000000e-01,1.00000000000000000e+00,5.00000000000000000e-01,10,20,1.86703191317380275e-03
137,1.00000000000000000e+01,2.50000000000000000e-01,1.00000000000000000e+00,2.50000000000000000e-01,5,10,6.87508529402231505e-02
138,1.00000000000000006e-01,7.50000000000000000e-01,1.00000000000000000e+00,7.50000000000000000e-01,20,20,7.57071083514616991e-04
139,1.00000000000000006e-01,2.50000000000000000e-01,1.00000000000000000e+00,2.50000000000000000e-01,10,15,2.53033057338580227e-08
140,1.00000000000000006e-01,7.50000000000000000e+00,1.00000000000000000e+01,7.50000000000000000e-01,10,20,1.34438613433361513e-03
141,1.00000000000000000e+01,5.00000000000000000e+00,1.00000000000000000e+01,5.00000000000000000e-01,15,15,2.43202534241470520e-05
142,1.00000000000000006e-01,7.50000000000000111e-02,1.00000000000000006e-01,7.50000000000000000e-01,3,5,1.49052334399538755e+00
143,1.00000000000000006e-01,2.50000000000000000e-01,1.00000000000000000e+00,2.50000000000000000e-01,3,3,4.32955374743469875e-04
144,1.00000000000000000e+01,7.50000000000000000e-01,1.00000000000000000e+00,7.50000000000000000e-01,10,10,2.42598219196675347e-01
145,1.00000000000000006e-01,7.50000000000000000e+00,1.00000000000000000e+01,7.50000000000000000e-01,15,3,3.19029131487367622e-04
146,1.00000000000000006e-01,7.50000000000000000e-01,1.00000000000000000e+00,7.50000000000000000e-01,3,3,1.00843051326108699e-01
147,1.00000000000000000e+01,7.50000000000000000e-01,1.00000000000000000e+00,7.50000000000000000e-01,15,15,2.14421475913675746e-01
148,1.00000000000000000e+01,7.50000000000000000e-01,1.00000000000000000e+00,7.50000000000000000e-01,3,5,2.88380740168325600e-01
149,1.00000000000000000e+01,5.00000000000000028e-02,1.00000000000000006e-01,5.00000000000000000e-01,3,15,1.56011238558388876e+00
150,1.00000000000000000e+00,2.50000000000000014e-02,1.00000000000000006e-01,2.50000000000000000e-01,10,3,4.78889997192899819e-01
151,1.00000000000000000e+00,2.50000000000000000e+00,1.00000000000000000e+01,2.50000000000000000e-01,20,15,2.41397894988441060e-15
152,1.00000000000000000e+01,2.50000000000000014e-02,1.00000000000000006e-01,2.50000000000000000e-01,15,3,9.41473273023003543e-01
153,1.00000000000000000e+00,2.50000000000000000e+00,1.00000000000000000e+01,2.50000000000000000e-01,10,3,2.53033057490785876e-09
154,1.00000000000000000e+00,2.50000000000000014e-02,1.00000000000000006e-01,2.50000000000000000e-01,3,15,7.94502921743554746e-01
155,1.00000000000000000e+01,5.00000000000000000e+00,1.00000000000000000e+01,5.00000000000000000e-01,10,5,1.86703191317386010e-04
156,1.00000000000000000e+00,7.50000000000000000e-01,1.00000000000000000e+00,7.50000000000000000e-01,20,3,3.16513943602241173e-03
157,1.00000000000000000e+00,7.50000000000000000e-01,1.00000000000000000e+00,7.50000000000000000e-01,15,20,9.86543326482090810e-03
158,1.00000000000000000e+00,7.50000000000000000e+00,1.00000000000000000e+01,7.50000000000000000e-01,3,10,1.00843051326108858e-02
159,1.00000000000000006e-01,7.50000000000000000e+00,1.00000000000000000e+01,7.50000000000000000e-01,20,5,7.57071083510015230e-05
160,1.00000000000000006e-01,2.50000000000000014e-02,1.00000000000000006e-01,2.50000000000000000e-01,3,10,1.14496231846708471e-01
161,1.00000000000000006e-01,7.50000000000000111e-02,1.00000000000000006e-01,7.50000000000000000e-01,15,15,9.86543326482095667e-02
162,1.00000000000000006e-01,2.50000000000000000e+00,1.00000000000000000e+01,2.50000000000000000e-01,3,15,4.14468824662982802e-05
163,1.00000000000000000e+00,7.50000000000000000e-01,1.00000000000000000e+00,7.50000000000000000e-01,10,5,3.08009033980191325e-02
164,1.00000000000000000e+00,7.50000000000000111e-02,1.00000000000000006e-01,7.50000000000000000e-01,15,15,2.14421475913674131e+00
165,1.00000000000000000e+00,2.50000000000000000e+00,1.00000000000000000e+01,2.50000000000000000e-01,15,15,2.47042692620250882e-12
166,1.00000000000000000e+00,5.00000000000000000e+00,1.00000000000000000e+01,5.00000000000000000e-01,3,20,1.00017227405073579e-03
167,1.00000000000000000e+01,2.50000000000000000e+00,1.00000000000000000e+01,2.50000000000000000e-01,10,10,2.25076127094268450e-05
168,1.00000000000000000e+00,2.50000000000000014e-02,1.00000000000000006e-01,2.50000000000000000e-01,15,5,3.33574961490825106e-01
169,1.00000000000000006e-01,7.50000000000000000e+00,1.00000000000000000e+01,7.50000000000000000e-01,10,3,1.34438613433361079e-03
170,1.00000000000000006e-01,7.50000000000000000e-01,1.00000000000000000e+00,7.50000000000000000e-01,3,5,1.00843051326108699e-01
171,1.00000000000000000e+00,5.00000000000000000e+00,1.00000000000000000e+01,5.00000000000000000e-01,20,15,7.58909908485984473e-09
172,1.00000000000000000e+01,5.00000000000000000e-01,1.00000000000000000e+00,5.00000000000000000e-01,15,3,7.29107132122832624e-02
173,1.00000000000000000e+00,2.50000000000000000e+00,1.00000000000000000e+01,2.50000000000000000e-01,5,15,2.61748047954592412e-06
174,1.00000000000000000e+01,2.50000000000000000e-01,1.00000000000000000e+00,2.50000000000000000e-01,10,10,4.78889997192901845e-02
175,1.00000000000000006e-01,7.50000000000000000e-01,1.00000000000000000e+00,7.50000000000000000e-01,5,15,5.66598806657792053e-02
176,1.00000000000000006e-01,2.50000000000000000e+00,1.00000000000000000e+01,2.50000000000000000e-01,3,20,4.14468824662982802e-05
177,1.00000000000000006e-01,5.00000000000000000e-01,1.00000000000000000e+00,5.00000000000000000e-01,15,3,2.42851173996787283e-06
178,1.00000000000000000e+00,7.50000000000000000e+00,1.00000000000000000e+01,7.50000000000000000e-01,20,5,7.57071083514653447e-05
179,1.00000000000000000e+00,5.00000000000000000e+00,1.00000000000000000e+01,5.00000000000000000e-01,5,20,2.48848269294980656e-04
180,1.00000000000000000e+01,5.00000000000000028e-02,1.00000000000000006e-01,5.00000000000000000e-01,5,15,1.54462749468928728e+00
181,1.00000000000000006e-01,7.50000000000000111e-02,1.00000000000000006e-01,7.50000000000000000e-01,10,3,3.08009033980191915e-01
182,1.00000000000000006e-01,5.00000000000000028e-02,1.00000000000000006e-01,5.00000000000000000e-01,5,15,1.47362090252932315e-01
183,1.00000000000000000e+00,5.00000000000000028e-02,1.00000000000000006e-01,5.00000000000000000e-01,15,3,7.29107132122831514e-01
184,1.00000000000000006e-01,5.00000000000000028e-02,1.00000000000000006e-01,5.00000000000000000e-01,15,5,2.43202534241413956e-03
